date,description,amount,category
2024-01-01,Whole Foods Grocery,92.50,Groceries
2024-01-02,Netflix Subscription,15.99,Entertainment
2024-01-03,Shell Gas Station,58.00,Gas
2024-01-04,Car EMI Payment,320.00,Car EMI
2024-01-05,Rent Payment,1200.00,Living Expenses
2024-01-06,Zara Clothing,85.00,Shopping
2024-01-07,Uber Eats,28.50,Outside Food
2024-01-08,Electric Bill,110.00,Living Expenses
2024-01-09,Chick-fil-A,18.00,Outside Food
2024-01-10,Amazon Personal Items,45.00,Shopping
2024-01-11,Spotify Premium,9.99,Entertainment
2024-01-12,Chevron Gas,52.00,Gas
2024-01-13,H&M Clothes,67.00,Shopping
2024-01-14,DoorDash,32.00,Outside Food
2024-01-15,Internet Bill,60.00,Living Expenses
2024-01-16,Costco Grocery,135.00,Groceries
2024-01-17,Movie Tickets,24.00,Entertainment
2024-01-18,Target Personal Items,38.00,Shopping
2024-01-19,Chipotle,14.50,Outside Food
2024-01-20,Shell Gas Station,55.00,Gas
2024-01-21,Bath and Body Works,42.00,Shopping
2024-01-22,Water Bill,35.00,Living Expenses
2024-01-23,Starbucks,7.50,Outside Food
2024-01-24,Car Insurance,95.00,Car EMI
2024-01-25,Walmart Grocery,78.00,Groceries
2024-01-26,YouTube Premium,13.99,Entertainment
2024-01-27,Perfume Sephora,75.00,Shopping
2024-01-28,Panera Bread,16.00,Outside Food
2024-01-29,BP Gas Station,60.00,Gas
2024-01-30,Phone Bill,85.00,Living Expenses
2024-01-31,Gym Membership,40.00,Living Expenses
2024-02-01,Whole Foods Grocery,88.00,Groceries
2024-02-02,Car EMI Payment,320.00,Car EMI
2024-02-03,Rent Payment,1200.00,Living Expenses
2024-02-04,Shell Gas Station,54.00,Gas
2024-02-05,Valentines Day Dinner,95.00,Outside Food
2024-02-06,Amazon Clothes,55.00,Shopping
2024-02-07,Netflix Subscription,15.99,Entertainment
2024-02-08,Electric Bill,98.00,Living Expenses
2024-02-09,Starbucks,8.00,Outside Food
2024-02-10,Chevron Gas,50.00,Gas
2024-02-11,Zara Clothing,110.00,Shopping
2024-02-12,DoorDash,27.00,Outside Food
2024-02-13,Spotify Premium,9.99,Entertainment
2024-02-14,Roses and Gifts,45.00,Shopping
2024-02-15,Internet Bill,60.00,Living Expenses
2024-02-16,Costco Grocery,128.00,Groceries
2024-02-17,Movie Tickets,22.00,Entertainment
2024-02-18,Chipotle,13.50,Outside Food
2024-02-19,Shell Gas Station,57.00,Gas
2024-02-20,Target Personal Items,33.00,Shopping
2024-02-21,Water Bill,35.00,Living Expenses
2024-02-22,Walmart Grocery,72.00,Groceries
2024-02-23,Perfume Macys,89.00,Shopping
2024-02-24,Car Insurance,95.00,Car EMI
2024-02-25,Panera Bread,15.00,Outside Food
2024-02-26,YouTube Premium,13.99,Entertainment
2024-02-27,H&M Clothes,78.00,Shopping
2024-02-28,Phone Bill,85.00,Living Expenses
2024-02-29,Gym Membership,40.00,Living Expenses
2024-03-01,Whole Foods Grocery,95.00,Groceries
2024-03-02,Car EMI Payment,320.00,Car EMI
2024-03-03,Rent Payment,1200.00,Living Expenses
2024-03-04,Shell Gas Station,62.00,Gas
2024-03-05,Chick-fil-A,17.50,Outside Food
2024-03-06,Netflix Subscription,15.99,Entertainment
2024-03-07,Electric Bill,105.00,Living Expenses
2024-03-08,Amazon Personal Items,52.00,Shopping
2024-03-09,DoorDash,35.00,Outside Food
2024-03-10,Chevron Gas,55.00,Gas
2024-03-11,Spotify Premium,9.99,Entertainment
2024-03-12,Zara Clothing,125.00,Shopping
2024-03-13,Starbucks,9.00,Outside Food
2024-03-14,Internet Bill,60.00,Living Expenses
2024-03-15,Costco Grocery,142.00,Groceries
2024-03-16,Concert Tickets,120.00,Entertainment
2024-03-17,Shell Gas Station,58.00,Gas
2024-03-18,Target Personal Items,41.00,Shopping
2024-03-19,Chipotle,14.00,Outside Food
2024-03-20,Water Bill,35.00,Living Expenses
2024-03-21,Spring Break Travel Hotel,450.00,Travel
2024-03-22,Spring Break Travel Food,85.00,Travel
2024-03-23,Spring Break Flight,320.00,Travel
2024-03-24,Spring Break Activities,65.00,Travel
2024-03-25,Walmart Grocery,80.00,Groceries
2024-03-26,Bath and Body Works,55.00,Shopping
2024-03-27,Car Insurance,95.00,Car EMI
2024-03-28,YouTube Premium,13.99,Entertainment
2024-03-29,Phone Bill,85.00,Living Expenses
2024-03-30,Gym Membership,40.00,Living Expenses
2024-03-31,Perfume Nordstrom,95.00,Shopping
2024-04-01,Whole Foods Grocery,90.00,Groceries
2024-04-02,Car EMI Payment,320.00,Car EMI
2024-04-03,Rent Payment,1200.00,Living Expenses
2024-04-04,Shell Gas Station,60.00,Gas
2024-04-05,Netflix Subscription,15.99,Entertainment
2024-04-06,Electric Bill,92.00,Living Expenses
2024-04-07,Uber Eats,30.00,Outside Food
2024-04-08,Amazon Clothes,72.00,Shopping
2024-04-09,Chevron Gas,53.00,Gas
2024-04-10,Spotify Premium,9.99,Entertainment
2024-04-11,Starbucks,8.50,Outside Food
2024-04-12,H&M Clothes,95.00,Shopping
2024-04-13,Internet Bill,60.00,Living Expenses
2024-04-14,Costco Grocery,138.00,Groceries
2024-04-15,DoorDash,29.00,Outside Food
2024-04-16,Shell Gas Station,56.00,Gas
2024-04-17,Movie Tickets,26.00,Entertainment
2024-04-18,Target Personal Items,44.00,Shopping
2024-04-19,Chipotle,15.00,Outside Food
2024-04-20,Water Bill,35.00,Living Expenses
2024-04-21,Walmart Grocery,75.00,Groceries
2024-04-22,Car Insurance,95.00,Car EMI
2024-04-23,YouTube Premium,13.99,Entertainment
2024-04-24,Perfume Sephora,68.00,Shopping
2024-04-25,Panera Bread,17.00,Outside Food
2024-04-26,Phone Bill,85.00,Living Expenses
2024-04-27,Gym Membership,40.00,Living Expenses
2024-04-28,Nike Shoes,110.00,Shopping
2024-04-29,BP Gas Station,59.00,Gas
2024-04-30,Chick-fil-A,16.50,Outside Food
2024-05-01,Whole Foods Grocery,97.00,Groceries
2024-05-02,Car EMI Payment,320.00,Car EMI
2024-05-03,Rent Payment,1200.00,Living Expenses
2024-05-04,Shell Gas Station,63.00,Gas
